,alt,lat,long,time,trajIndex
550,0.0,32.17798833090055,34.912346562512376,2,9
551,0.0,32.17798541499132,34.912375818297214,4,9
552,0.0,32.177982499082084,34.91240507408112,6,9
553,0.0,32.177979583172856,34.91243432986409,8,9
554,0.0,32.17797666726362,34.91246358564613,10,9
555,0.0,32.17797375135438,34.91249284142723,12,9
556,0.0,32.177970835445144,34.9125220972074,14,9
557,0.0,32.1779679195359,34.91255135298665,16,9
558,0.0,32.17796500362666,34.912580608764955,18,9
559,0.0,32.177962087717425,34.91260986454233,20,9
560,0.0,32.17795917180818,34.91263912031877,22,9
561,0.0,32.17795625589894,34.91266837609429,24,9
562,0.0,32.17795333998969,34.912697631868866,26,9
563,0.0,32.17795042408044,34.91272688764251,28,9
564,0.0,32.17794750817119,34.91275614341523,30,9
565,0.0,32.17794459226194,34.91278539918701,32,9
566,0.0,32.17794167635269,34.912814654957856,34,9
567,0.0,32.17793876044343,34.91284391072777,36,9
568,0.0,32.17793584453418,34.91287316649676,38,9
569,0.0,32.17795933001789,34.912883418810445,40,9
570,0.0,32.17793434948193,34.912881197383726,42,9
571,0.0,32.17794304068505,34.91285357086385,44,9
572,0.0,32.17795173188816,34.912825944341364,46,9
573,0.0,32.17796042309125,34.91279831781625,48,9
574,0.0,32.17796911429434,34.91277069128851,50,9
575,0.0,32.17796368704679,34.912741934834536,52,9
576,0.0,32.177958259799226,34.912713178382276,54,9
577,0.0,32.177952832551654,34.91268442193172,56,9
578,0.0,32.177947405304074,34.91265566548287,58,9
579,0.0,32.17794197805651,34.91262690903573,60,9
580,0.0,32.17793655080892,34.91259815259029,62,9
581,0.0,32.17793112356134,34.91256939614656,64,9
582,0.0,32.177933834489785,34.91254011313955,66,9
583,0.0,32.177936545418234,34.912510830131666,68,9
584,0.0,32.177939256346676,34.912481547122916,70,9
585,0.0,32.17794196727512,34.91245226411329,72,9
586,0.0,32.17792919297236,34.91247760289555,74,9
587,0.0,32.17794351514783,34.91245343537487,76,9
588,0.0,32.17796731466418,34.912462632173025,78,9
589,0.0,32.177991114180436,34.912471828973565,80,9
590,0.0,32.17801491369661,34.9124810257765,82,9
591,0.0,32.17801953625252,34.91250997599035,84,9
592,0.0,32.1779977186851,34.91252445268106,86,9
593,0.0,32.177975901117584,34.912538929368324,88,9
594,0.0,32.17795408355001,34.91255340605213,90,9
595,0.0,32.177932265982356,34.91256788273248,92,9
596,0.0,32.177938116326914,34.91253924121642,94,9
597,0.0,32.177943966671464,34.91251059969853,96,9
598,0.0,32.177949817016014,34.9124819581788,98,9
599,0.0,32.177955667360564,34.91245331665724,100,9
600,0.0,32.17793063339194,34.912454430264866,102,9
601,0.0,32.17795478595662,34.91244660874923,104,9
602,0.0,32.17797893852121,34.91243878723152,106,9
603,0.0,32.178003091085706,34.91243096571176,108,9
604,0.0,32.17802328504809,34.912448397737776,110,9
605,0.0,32.178013218122935,34.91247537085409,112,9
606,0.0,32.17800315119776,34.91250234396743,114,9
607,0.0,32.17798135932892,34.91251687406991,116,9
608,0.0,32.17795956746001,34.912531404168924,118,9
609,0.0,32.177937775591026,34.91254593426447,120,9
610,0.0,32.17792853286125,34.91263362382001,0,10
611,0.0,32.177929979318115,34.912663030657946,2,10
612,0.0,32.177931425774986,34.91269243749635,4,10
613,0.0,32.17793287223185,34.91272184433521,6,10
614,0.0,32.17793431868872,34.91275125117454,8,10
615,0.0,32.177935765145584,34.912780658014334,10,10
