mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:9f:c1:8a,1488809482955583,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:91,1488809482955583,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6b:6f,1488809482955584,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:53,1488809482955584,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6b:7e,1488809482955584,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6a:e8,1488809483698273,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:d6,1488809483698274,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6a:de,1488809483698274,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6b:10,1488809483698274,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:f5,1488809483698275,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:63:ec,1488809484799654,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:63:e2,1488809484799654,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:62:a2,1488809484799654,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:be,1488809484799655,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:b9,1488809484799654,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:aa,1488809485541443,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:87,1488809485541443,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:9b,1488809485541443,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:94,1488809485541443,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:4f,1488809485541444,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:31,1488809485848583,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:62:d9,1488809485848583,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:af,1488809486626275,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:36,1488809486626274,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:96,1488809486626275,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:8f,1488809486626275,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:04,1488809486626276,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:18,1488809487384903,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:87,1488809487384904,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:b3,1488809487384904,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:69:d5,1488809487384904,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:67:3c,1488809487384903,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:b4,1488809487871461,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6c:19,1488809487871462,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:69:a8,1488809487871463,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:67:37,1488809488306256,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:4e,1488809488306256,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:99,1488809488306255,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6a:fc,1488809488358135,-58,0,0,0,0,766,0,0,SUCCESS,0.00E+00
44:85:00:c5:69:da,1488809488370580,-64,0,0,0,0,609,0,0,SUCCESS,0.00E+00
44:85:00:c5:6b:74,1488809488383678,-73,0,0,0,0,708,0,0,SUCCESS,0.00E+00
44:85:00:c5:6b:83,1488809488676663,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:a5,1488809488665285,-74,0,0,0,0,2698,0,0,SUCCESS,0.00E+00
e4:b3:18:9f:c1:8a,1488809489407593,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:91,1488809488838825,-84,0,0,0,0,3243,0,0,SUCCESS,0.00E+00
44:85:00:c5:6b:6f,1488809489407593,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:53,1488809489407595,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6b:7e,1488809489407595,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6a:e8,1488809490328930,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:d6,1488809490328930,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6a:de,1488809490328930,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6b:10,1488809490328930,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:f5,1488809490328931,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:63:ec,1488809491378645,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:63:e2,1488809491378645,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:62:a2,1488809491378645,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:be,1488809491378646,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
