mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:9f:bf:87,1496395324864156,0,0,0,0,0,0,0,0,FAILURE,856921394156
e4:b3:18:9f:c0:b3,1496395324864202,0,0,0,0,0,0,0,0,FAILURE,856921394201
44:85:00:c5:69:d5,1496395324864144,0,0,0,0,0,0,0,0,FAILURE,856921394144
44:85:00:c5:67:3c,1496395324864161,0,0,0,0,0,0,0,0,FAILURE,856921394161
e4:b3:18:9f:bf:b4,1496395324912998,81,0,0,0,0,992,0,0,SUCCESS,856921442998
44:85:00:c5:6c:19,1496395324925000,67,0,0,0,0,886,0,0,SUCCESS,856921455000
44:85:00:c5:69:a8,1496395324937593,72,0,0,0,0,659,0,0,SUCCESS,856921467592
44:85:00:c5:67:37,1496395324950560,65,0,0,0,0,630,0,0,SUCCESS,856921480560
e4:b3:18:9f:c1:4e,1496395325090611,0,0,0,0,0,0,0,0,FAILURE,856921620611
e4:b3:18:9f:c1:99,1496395325260688,0,0,0,0,0,0,0,0,FAILURE,856921790688
e4:b3:18:9f:bf:af,1496395326064866,0,0,0,0,0,0,0,0,FAILURE,856922594866
e4:b3:18:9f:c0:36,1496395326064868,0,0,0,0,0,0,0,0,FAILURE,856922594868
e4:b3:18:9f:bf:96,1496395326064856,0,0,0,0,0,0,0,0,FAILURE,856922594856
e4:b3:18:9f:c1:8f,1496395326064853,0,0,0,0,0,0,0,0,FAILURE,856922594852
e4:b3:18:9f:c0:04,1496395326050747,66,0,0,0,0,1176,0,0,SUCCESS,856922580747
e4:b3:18:9f:c0:18,1496395326108026,83,0,0,0,0,2546,0,0,SUCCESS,856922638026
e4:b3:18:9f:bf:87,1496395326632239,0,0,0,0,0,0,0,0,FAILURE,856923162239
e4:b3:18:9f:c0:b3,1496395326632285,0,0,0,0,0,0,0,0,FAILURE,856923162285
44:85:00:c5:69:d5,1496395326632226,0,0,0,0,0,0,0,0,FAILURE,856923162226
44:85:00:c5:67:3c,1496395326632234,0,0,0,0,0,0,0,0,FAILURE,856923162234
e4:b3:18:9f:bf:b4,1496395326656860,83,0,0,0,0,946,0,0,SUCCESS,856923186860
44:85:00:c5:6c:19,1496395326670132,69,0,0,0,0,857,0,0,SUCCESS,856923200132
44:85:00:c5:69:a8,1496395326682652,65,0,0,0,0,733,0,0,SUCCESS,856923212652
44:85:00:c5:67:37,1496395326706793,62,0,0,0,0,699,0,0,SUCCESS,856923236793
e4:b3:18:9f:c1:4e,1496395326846459,0,0,0,0,0,0,0,0,FAILURE,856923376458
e4:b3:18:9f:c1:99,1496395327017124,0,0,0,0,0,0,0,0,FAILURE,856923547124
e4:b3:18:9f:bf:af,1496395327824659,0,0,0,0,0,0,0,0,FAILURE,856924354658
e4:b3:18:9f:c0:36,1496395327824650,0,0,0,0,0,0,0,0,FAILURE,856924354650
e4:b3:18:9f:bf:96,1496395327824644,0,0,0,0,0,0,0,0,FAILURE,856924354644
e4:b3:18:9f:c1:8f,1496395327824641,0,0,0,0,0,0,0,0,FAILURE,856924354641
e4:b3:18:9f:c0:04,1496395327813193,67,0,0,0,0,1084,0,0,SUCCESS,856924343192
e4:b3:18:9f:c0:18,1496395327865164,82,0,0,0,0,2393,0,0,SUCCESS,856924395164
e4:b3:18:9f:bf:87,1496395328388876,0,0,0,0,0,0,0,0,FAILURE,856924918876
e4:b3:18:9f:c0:b3,1496395328388864,0,0,0,0,0,0,0,0,FAILURE,856924918863
44:85:00:c5:69:d5,1496395328388861,0,0,0,0,0,0,0,0,FAILURE,856924918861
44:85:00:c5:67:3c,1496395328388856,0,0,0,0,0,0,0,0,FAILURE,856924918856
e4:b3:18:9f:bf:b4,1496395328432477,81,0,0,0,0,880,0,0,SUCCESS,856924962477
44:85:00:c5:6c:19,1496395328444504,64,0,0,0,0,652,0,0,SUCCESS,856924974504
44:85:00:c5:69:a8,1496395328456825,72,0,0,0,0,790,0,0,SUCCESS,856924986825
44:85:00:c5:67:37,1496395328469313,65,0,0,0,0,780,0,0,SUCCESS,856924999313
e4:b3:18:9f:c1:4e,1496395328609007,0,0,0,0,0,0,0,0,FAILURE,856925139006
e4:b3:18:9f:c1:99,1496395328777982,0,0,0,0,0,0,0,0,FAILURE,856925307982
e4:b3:18:9f:bf:af,1496395329585767,0,0,0,0,0,0,0,0,FAILURE,856926115767
e4:b3:18:9f:c0:36,1496395329585757,0,0,0,0,0,0,0,0,FAILURE,856926115757
e4:b3:18:9f:bf:96,1496395329585753,0,0,0,0,0,0,0,0,FAILURE,856926115753
e4:b3:18:9f:c1:8f,1496395329585817,0,0,0,0,0,0,0,0,FAILURE,856926115817
e4:b3:18:9f:c0:04,1496395329573074,63,0,0,0,0,1127,0,0,SUCCESS,856926103074
e4:b3:18:9f:c0:18,1496395329629115,78,0,0,0,0,2639,0,0,SUCCESS,856926159115
e4:b3:18:9f:bf:87,1496395330152940,0,0,0,0,0,0,0,0,FAILURE,856926682940
e4:b3:18:9f:c0:b3,1496395330152932,0,0,0,0,0,0,0,0,FAILURE,856926682932
44:85:00:c5:69:d5,1496395330152928,0,0,0,0,0,0,0,0,FAILURE,856926682928
44:85:00:c5:67:3c,1496395330152947,0,0,0,0,0,0,0,0,FAILURE,856926682946
e4:b3:18:9f:bf:b4,1496395330195127,82,0,0,0,0,756,0,0,SUCCESS,856926725127
44:85:00:c5:6c:19,1496395330207402,59,0,0,0,0,538,0,0,SUCCESS,856926737402
44:85:00:c5:69:a8,1496395330219972,74,0,0,0,0,715,0,0,SUCCESS,856926749972
44:85:00:c5:67:37,1496395330232328,61,0,0,0,0,739,0,0,SUCCESS,856926762328
