mac,time,a,b,c,d,e,range,,f,status,g
44:85:00:c5:67:3c,1496399988326877,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:b4,1496399988370344,83,0,0,0,0,1150,0,0,SUCCESS,8.62E+11
44:85:00:c5:6c:19,1496399988674717,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:a8,1496399988510933,68,0,0,0,0,638,0,0,SUCCESS,8.62E+11
44:85:00:c5:67:37,1496399988534135,59,0,0,0,0,405,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c1:4e,1496399988674623,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:99,1496399988845365,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:af,1496399989653569,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:36,1496399989653564,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:96,1496399989653557,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:8f,1496399989653555,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:04,1496399989641322,68,0,0,0,0,1316,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c0:18,1496399989690679,79,0,0,0,0,2551,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:bf:87,1496399990214069,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:b3,1496399990214063,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:d5,1496399990214062,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:67:3c,1496399990214058,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:b4,1496399990261019,84,0,0,0,0,950,0,0,SUCCESS,8.62E+11
44:85:00:c5:6c:19,1496399990565997,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:a8,1496399990413280,65,0,0,0,0,324,0,0,SUCCESS,8.62E+11
44:85:00:c5:67:37,1496399990426237,50,0,0,0,0,510,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c1:4e,1496399990565986,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:99,1496399990736162,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:af,1496399991544400,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:36,1496399991544395,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:96,1496399991544445,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:8f,1496399991544387,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:04,1496399991532977,66,0,0,0,0,1333,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c0:18,1496399991586563,81,0,0,0,0,2720,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:bf:87,1496399992110287,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:b3,1496399992110281,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:d5,1496399992110273,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:67:3c,1496399992110272,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:b4,1496399992157474,83,0,0,0,0,954,0,0,SUCCESS,8.62E+11
44:85:00:c5:6c:19,1496399992450385,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:a8,1496399992297904,65,0,0,0,0,345,0,0,SUCCESS,8.62E+11
44:85:00:c5:67:37,1496399992310544,49,0,0,0,0,494,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c1:4e,1496399992450325,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:99,1496399992621449,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:af,1496399993429435,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:36,1496399993429370,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:96,1496399993429370,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:8f,1496399993429358,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:04,1496399993417678,68,0,0,0,0,1294,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c0:18,1496399993469295,80,0,0,0,0,2717,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:bf:87,1496399993993700,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:b3,1496399993993696,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:d5,1496399993993756,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:67:3c,1496399993993688,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:b4,1496399994038267,80,0,0,0,0,770,0,0,SUCCESS,8.62E+11
44:85:00:c5:6c:19,1496399994063042,69,0,0,0,0,903,0,0,SUCCESS,8.62E+11
44:85:00:c5:69:a8,1496399994087415,64,0,0,0,0,497,0,0,SUCCESS,8.62E+11
44:85:00:c5:67:37,1496399994104745,48,0,0,0,0,387,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c1:4e,1496399994245266,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:99,1496399994406348,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:af,1496399995217560,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:36,1496399995217549,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:96,1496399995217542,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:8f,1496399995217541,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:04,1496399995206738,71,0,0,0,0,1324,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c0:18,1496399995267182,81,0,0,0,0,2609,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:bf:87,1496399995791003,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:b3,1496399995790998,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:d5,1496399995790990,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:67:3c,1496399995790988,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:b4,1496399995829378,81,0,0,0,0,1013,0,0,SUCCESS,8.62E+11
44:85:00:c5:6c:19,1496399995842244,71,0,0,0,0,956,0,0,SUCCESS,8.62E+11
44:85:00:c5:69:a8,1496399995854712,60,0,0,0,0,591,0,0,SUCCESS,8.62E+11
44:85:00:c5:67:37,1496399995866903,60,0,0,0,0,501,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c1:4e,1496399996006590,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:99,1496399996179071,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:af,1496399996998331,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:36,1496399996998417,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:96,1496399996998322,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:8f,1496399996998318,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:04,1496399996986955,68,0,0,0,0,1206,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c0:18,1496399997680033,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:87,1496399997680029,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:b3,1496399997680075,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:d5,1496399997680016,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:67:3c,1496399997680027,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:b4,1496399997722263,79,0,0,0,0,969,0,0,SUCCESS,8.62E+11
44:85:00:c5:6c:19,1496399997734563,72,0,0,0,0,886,0,0,SUCCESS,8.62E+11
44:85:00:c5:69:a8,1496399997765959,67,0,0,0,0,701,0,0,SUCCESS,8.62E+11
44:85:00:c5:67:37,1496399997778781,71,0,0,0,0,770,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c1:4e,1496399997918252,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:99,1496399998088310,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:af,1496399998896493,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:36,1496399998896486,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:96,1496399998896531,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:8f,1496399998896475,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:04,1496399998884658,67,0,0,0,0,1197,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c0:18,1496399998936732,79,0,0,0,0,2306,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:bf:87,1496399999460337,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:b3,1496399999460387,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:d5,1496399999460325,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:67:3c,1496399999460322,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:b4,1496399999504697,82,0,0,0,0,833,0,0,SUCCESS,8.62E+11
44:85:00:c5:6c:19,1496399999517709,70,0,0,0,0,855,0,0,SUCCESS,8.62E+11
44:85:00:c5:69:a8,1496399999539215,71,0,0,0,0,671,0,0,SUCCESS,8.62E+11
44:85:00:c5:67:37,1496399999551779,60,0,0,0,0,791,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c1:4e,1496399999691406,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:99,1496399999862470,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:af,1496400000671011,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:36,1496400000671003,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:96,1496400000670999,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:8f,1496400000670993,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:04,1496400000658868,68,0,0,0,0,1286,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c0:18,1496400000715687,78,0,0,0,0,2509,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:bf:87,1496400001251756,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:b3,1496400001251753,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
